	FIRE_YEAR	1	0	MANMADE
1826782	2015	29.3646	-81.1738	1
1826783	2015	45.09903	-119.659	1
1826784	2015	41.9043	-70.791781	1
1826696	2015	45.72806	-122.88056	1
1826545	2015	33.595322	-79.501572	1
1826544	2015	30.292	-85.9148	1
1826543	2015	32.62955556	-83.80569444	1
1826786	2015	29.2238	-82.9904	1
1826538	2015	44.73278	-123.87028	1
1826776	2015	47.14714916	-116.3605006	1
1826758	2015	47.0239	-114.2309	1
1826792	2015	33.70466	-94.3074	1
1826793	2015	47.8389	-117.5432	1
1826794	2015	47.05763052	-95.36139908	1
1826795	2015	32.02151667	-82.75382222	1
1826796	2015	33.359638	-81.458488	1
1826797	2015	33.603889	-80.455971	1
1826798	2015	33.442551	-79.577675	1
1826799	2015	33.437706	-81.772614	1
1826800	2015	32.68533333	-83.51888889	1
1826791	2015	33.72176	-94.29865	1
1826789	2015	32.57703889	-82.72643889	1
1826774	2015	46.6738	-112.5479	1
1826773	2015	45.197056	-68.428722	1
1826748	2015	47.1139215	-116.6717475	1
1826749	2015	39.45	-96.74	1
1826750	2015	32.462646	-80.984299	1
1826751	2015	48.60580512	-96.04678036	1
1826752	2015	39.26	-95.7	1
1826787	2015	29.8627	-84.7026	1
1826834	2015	31.80873333	-82.98104167	1
1826775	2015	46.76412276	-94.35578684	1
1826790	2015	34.600208	-81.174004	1
1826788	2015	32.8125	-94.55466667	1
1826753	2015	41.0323	-73.7814	1
1826759	2015	45.76943308	-93.29377935	1
1826760	2015	44.095003	-69.486726	1
1826761	2015	40.73973	-92.89749	1
1826762	2015	44.78806	-122.60083	1
1826763	2015	41.3441	-74.1623	1
1826764	2015	48.18642727	-116.9922341	1
1826765	2015	32.12041667	-94.27775	1
1826756	2015	44.28861	-89.77324	1
1826766	2015	37.07	-94.64	1
1826768	2015	42.123275	-70.678931	1
1826769	2015	35.027973	-82.383217	1
1826770	2015	33.15741667	-82.56127778	1
1826771	2015	32.52083333	-83.68486111	1
1826772	2015	45.01073	-70.64726	1
1826801	2015	31.2714	-83.68017222	1
1826802	2015	31.07616389	-83.55976389	1
1826803	2015	32.930371	-104.427538	1
1826804	2015	43.62345	-84.60101	1
1826767	2015	46.79238317	-116.6577126	1
1826755	2015	29.6524	-81.4735	1
1826754	2015	42.419122	-71.634831	1
1826757	2015	44.45944	-122.77944	1
1827309	2015	30.5483	-87.065	1
1826668	2015	41.077433	-124.15135	1
1826837	2015	46.5693	-122.7317	1
1826839	2015	34.459694	-79.416328	1
1826840	2015	42.523011	-70.916423	1
1826841	2015	44.391158	-69.174286	1
1826842	2015	41.3363	-74.1574	1
1826843	2015	33.07472222	-82.72972222	1
1826844	2015	31.71867222	-82.58682222	1
